Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Ground temperature.mean,Air temperature.mean,Ground moisture.mean
22/03/2019 13:00,0.680555556,0,109.2236111,161.55,25.875,11.63055556,202.9833333
23/03/2019 01:00,0.448611111,0,191.9305556,201.3888889,26.06666667,5.770833333,202.9833333
23/03/2019 13:00,0.963888889,0,245.0986111,158.9875,17.03888889,13.33194444,112.0055556
24/03/2019 01:00,0.515277778,0,73.26388889,206.9375,26.42083333,8.227777778,203.9097222
24/03/2019 13:00,0.701388889,0,242.775,163.9833333,26.54722222,14.83194444,203.9805556
25/03/2019 01:00,2.093055556,0,179.6944444,192.8958333,8.708333333,8.348611111,22
25/03/2019 13:00,6.033333333,0.097222222,165.4680556,138.9819444,26.88472222,11.36527778,204.3916667
26/03/2019 01:00,4.061111111,0,67.54166667,153.5291667,8.834722222,6.751388889,23
26/03/2019 13:00,2.916666667,0,58.125,115.7930556,17.8,7.422222222,114.3111111
27/03/2019 01:00,1.405555556,0,86.6625,105.5430556,8.536111111,3.273611111,23
27/03/2019 13:00,1.075,0,124.9097222,48.61527778,8.152777778,7.593055556,22.89166667
28/03/2019 01:00,1.431944444,0,72.14166667,222.8194444,8.023611111,3.75,23
28/03/2019 13:00,1.352777778,0,48.06388889,175.7111111,17.02916667,9.845833333,113.9888889
29/03/2019 01:00,1.530555556,0,79.39166667,219.025,8.069444444,5.256944444,23
29/03/2019 13:00,2.304166667,0,238.7569444,168.7180556,35.33472222,10.36805556,295.9666667
30/03/2019 01:00,0.276388889,0,242.9236111,228.3902778,8.190277778,6.026388889,23
30/03/2019 13:00,0.545833333,0,200.7513889,174.3625,17.33055556,12.77638889,113.9888889
31/03/2019 01:00,0.184848485,0,154.5712121,180.7015152,18.45909091,5.821212121,122.9909091
31/03/2019 14:00,0.659722222,0,255.8458333,235.0888889,8.576388889,16.325,24
01/04/2019 02:00,1.359722222,0,65.50972222,164.1083333,8.948611111,7.970833333,24
01/04/2019 14:00,1.983333333,0,137.3958333,231.0722222,9.002777778,16.74027778,24.00277778
02/04/2019 02:00,0.488888889,0,109.5902778,164.9902778,9.359722222,6.091666667,24.98611111
02/04/2019 14:00,0.902777778,0,279.3013889,223.8458333,9.298611111,15.5125,25
03/04/2019 02:00,1.019444444,0,237.9805556,144.2694444,9.588888889,8.830555556,25
03/04/2019 14:00,1.497222222,0.001388889,216.6333333,166.9708333,9.658333333,16.725,25.35
04/04/2019 02:00,1.248611111,0,230.6458333,121.6666667,9.955555556,9.584722222,26
04/04/2019 14:00,2.441666667,0,221.5194444,197.0152778,10.03472222,17.08194444,26.10277778
05/04/2019 02:00,2.979166667,0.033333333,246.3375,42.71527778,10.27916667,10.65138889,27
05/04/2019 14:00,2.169444444,0.141666667,164.2291667,70.23333333,10.12916667,9.227777778,27
06/04/2019 02:00,0.595833333,0.002777778,162.3388889,166.8513889,9.968055556,4.444444444,26.97777778
06/04/2019 14:00,1.266666667,0,273.2958333,248.8180556,9.777777778,13.23055556,26.00138889
07/04/2019 02:00,0.219444444,0.001388889,308.4166667,166.0444444,10.02083333,7.080555556,26
07/04/2019 14:00,1.044444444,0.009722222,203.2888889,207.1625,19.13194444,17.44166667,116.9847222
08/04/2019 02:00,0.883333333,0.002777778,98.3,102.9194444,10.5375,11.62222222,26.00138889
