,u10,v10,d2m,t2m,cdir,skt,tcrw,T
173,-0.64672774,-2.293755,269.62955,286.89572,6793314,291.48227,0,28/03/2019 12:00
174,0.8566498,-1.5475789,272.463,276.0919,0,274.89355,0,29/03/2019 00:00
175,-1.0462617,-3.0105748,273.14886,288.5839,6741854.5,292.80994,0,29/03/2019 12:00
176,1.2685883,-1.2815121,272.81973,276.5136,0,275.95416,0,30/03/2019 00:00
177,-0.13624094,-0.74491924,273.61642,291.02042,6734179.5,296.31186,0,30/03/2019 12:00
178,0.17266989,-0.2400983,272.72958,280.13937,0,276.5509,0,31/03/2019 00:00
179,-0.87914306,-1.0364407,273.95193,293.84845,6865282.5,298.46408,0,31/03/2019 12:00
180,0.82184786,-1.7623647,274.2643,279.23294,0,278.22064,0,01/04/2019 00:00
181,-1.1570423,-2.7012165,276.0789,293.8892,6816591,298.20874,0,01/04/2019 12:00
182,-2.1568244,-1.8729162,272.56552,282.26596,0,280.7287,0,02/04/2019 00:00
183,-1.6222175,-0.09870386,276.3075,292.76602,6835715,298.27963,0,02/04/2019 12:00
184,-1.668046,1.6913017,273.6243,282.80933,0,281.53674,0,03/04/2019 00:00
185,0.40370694,1.9800361,275.7547,294.3665,6854839.5,298.26724,0,03/04/2019 12:00
186,-1.5057515,1.8967975,277.10565,282.32214,0,280.91934,0,04/04/2019 00:00
187,-1.0915731,4.4259186,276.38043,293.515,6845026,297.07172,0.001184866,04/04/2019 12:00
188,-3.2758293,2.1364803,275.80692,284.93402,0,283.4219,0,05/04/2019 00:00
189,-4.152254,2.092074,281.81778,286.27826,6655920.5,286.82404,0.05361317,05/04/2019 12:00
190,-1.1422256,0.6497021,278.00482,278.62225,0,277.478,0.000357568,06/04/2019 00:00
191,0.7058986,0.7058139,278.72318,288.68207,6810677,294.1665,8.41E-05,06/04/2019 12:00
192,-1.1486002,-1.6298888,276.46567,280.2703,0,278.85248,0,07/04/2019 00:00
193,-0.13451807,-0.44856685,280.1441,292.61722,6959772,298.06696,0.001044646,07/04/2019 12:00
194,1.5485549,-0.6562922,281.96756,284.0665,0,281.61865,0.00023137,08/04/2019 00:00
195,-1.1175885,-1.1665014,282.49817,290.1751,6771296,290.23166,0.031872034,08/04/2019 12:00
196,1.2122505,-1.2904305,282.47504,283.76825,0,283.09015,0.003828004,09/04/2019 00:00
197,0.88835067,-1.4072993,283.185,292.57397,6841628.5,297.718,0.001374155,09/04/2019 12:00
198,0.3640809,-1.0622671,282.35925,284.6111,0,281.9724,1.40E-05,10/04/2019 00:00
199,-0.8638095,-1.8221927,281.91977,293.18774,6949706.5,297.45782,0.001367152,10/04/2019 12:00
200,-0.19206198,-0.8537985,284.06396,285.039,0,284.01245,0.007887378,11/04/2019 00:00
201,1.6838003,-1.887037,281.99365,287.5947,6826908,287.78763,0.018642262,11/04/2019 12:00
202,2.1891186,-2.8847878,279.07248,280.9106,0,280.32883,0.031858012,12/04/2019 00:00
203,1.9630778,-2.2045708,277.48456,279.7973,6593640.5,280.8113,0.037607044,12/04/2019 12:00
204,1.8517803,-1.1713322,277.85703,279.2237,0,279.25925,0.00608556,13/04/2019 00:00
205,1.1760702,-2.4425817,278.08466,280.12332,6736067,281.4975,0.001030624,13/04/2019 12:00
206,0.81478405,-1.2127658,277.44907,280.1011,0,279.67908,0.003624693,14/04/2019 00:00
207,0.4555654,-1.8933544,279.23016,283.0773,6890698,284.12946,0.010453418,14/04/2019 12:00
208,0.045177415,-1.9344163,279.7465,281.70776,0,279.30673,0.00170368,15/04/2019 00:00
209,-1.6735592,-3.608482,275.93552,288.6765,7313448,291.32672,0.000273436,15/04/2019 12:00
210,0.120639175,-1.8325975,274.37073,277.63864,0,277.22885,0,16/04/2019 00:00
211,-1.3792927,-0.8255568,273.9204,289.6472,7573640,294.34064,0,16/04/2019 12:00
212,1.4701643,-0.05113882,274.16577,277.3577,0,276.63968,0,17/04/2019 00:00
213,0.37303984,-3.3110151,275.11667,290.04916,7545708.5,293.90842,0,17/04/2019 12:00
214,-0.8460639,-1.8049132,278.6414,282.5716,0,280.36255,0.006394044,18/04/2019 00:00
215,-2.9534802,-1.5994174,277.32886,289.9343,7359623,292.91937,0.002783373,18/04/2019 12:00
216,0.68074465,-1.6018329,276.5898,280.40118,0,279.39276,0,19/04/2019 00:00
217,0.12615237,-3.465044,278.00336,293.44522,7459145.5,296.52316,0,19/04/2019 12:00
218,0.021057203,-1.6999357,276.4297,281.49783,0,280.31436,0,20/04/2019 00:00
219,-2.3892398,-1.7720264,272.5596,292.9284,7749283,296.76544,0,20/04/2019 12:00
220,1.9181108,1.2920157,275.12357,279.2564,0,279.57104,0,21/04/2019 00:00
221,0.73398143,1.2171379,273.34595,294.5085,7785015,299.25558,0,21/04/2019 12:00
222,0.7470752,1.8388275,275.8089,281.17365,0,279.8429,0,22/04/2019 00:00
223,0.19437808,2.3436484,277.00073,295.95895,7689896.5,299.28452,0,22/04/2019 12:00
224,-1.2161368,1.7033788,278.061,286.74445,0,283.5327,7.01E-05,23/04/2019 00:00
225,-5.4369993,1.9787356,282.58786,290.08374,7318606,290.88553,0.002650157,23/04/2019 12:00
