,Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Air temperature.mean,Ground moisture.mean,Air moisture.mean,u10,v10,d2m,t2m,cdir,tcrw
135,09/03/2019 13:00,2.702777778,0,91.08309859,144.1319444,14.47083333,13.99861111,52.54722222,3.2959838,1.5994437,277.67834,290.3905,1698626.2,0.000634581
136,10/03/2019 01:00,2.547222222,0,112.1722222,150.4666667,12.95416667,14,55.95555556,3.7985916,1.0059583,274.6651,283.25543,0,1.49E-08
137,10/03/2019 13:00,4.486111111,0,89.65833333,78.02083333,15.81666667,14,49.83055556,5.4267135,1.9378912,274.83716,291.75107,1694514.8,4.53E-05
138,11/03/2019 01:00,2.063888889,0.109722222,152.9541667,14.08611111,9.888888889,14,75.36527778,2.7961054,0.6908138,278.4909,284.21848,0,1.51E-05
139,11/03/2019 13:00,0.897222222,0.098611111,167.0263889,22.90985915,2.497222222,8.768055556,93.30694444,-0.7040936,3.2363834,274.6443,278.90857,1745105.5,0.008732811
140,12/03/2019 01:00,1.538888889,0.001388889,143.1763889,135.9805556,2.547222222,2,84.94861111,1.8473651,-1.667038,274.57373,274.93564,0,1.49E-08
141,12/03/2019 13:00,1.555555556,0,113.8291667,142.9930556,4.698611111,2,67.38055556,-1.3072649,-4.4918733,271.6417,281.79944,1804623.9,1.49E-08
142,13/03/2019 01:00,0.347222222,0,96.63333333,159.7236111,0.123611111,2,84.65416667,-0.031850457,2.0164926,268.88574,271.73483,0,1.49E-08
143,13/03/2019 13:00,1.016666667,0,169.4722222,153.0111111,9.081944444,2,52.15555556,-0.77043617,0.47479904,268.128,283.19263,1818837.9,1.49E-08
144,14/03/2019 01:00,0.794444444,0,77.96805556,170.7972222,6.481944444,2,69.99444444,0.7970115,-1.0702236,272.2208,276.9082,0,1.49E-08
145,14/03/2019 13:00,0.727777778,0,163.9888889,95.03611111,7.270833333,2,66.08055556,1.798028,-0.82702214,272.85876,285.5609,1822949.4,1.49E-08
146,15/03/2019 01:00,1.769444444,0,90.94305556,176.1486111,7.911111111,2,61.9,1.8805363,1.9304936,272.31317,277.08643,0,1.49E-08
147,15/03/2019 13:00,1.122222222,0,44.41111111,114.0861111,11.70972222,2,53.91666667,2.2718735,-2.8027792,270.49515,288.37866,1848675.5,1.49E-08
148,16/03/2019 01:00,2.072222222,0,52.73055556,100.1,12.53802817,2,61.89861111,2.676017,0.74056363,274.15704,283.105,0,1.49E-08
149,16/03/2019 13:00,0.966666667,0,257.1,86.38194444,10.84444444,2,72.12083333,-0.61318755,-1.0639354,277.77377,290.50348,1792485.2,1.49E-08
150,17/03/2019 01:00,1.127777778,0,124.2680556,209.2,7.2625,2,80.95416667,1.6642933,1.093252,276.6866,279.4094,0,1.49E-08
151,17/03/2019 13:00,2.172222222,0,96.55555556,193.1291667,18.56805556,2.125,47.9375,2.7992547,2.1561253,278.0194,295.86777,1868371.4,1.49E-08
152,18/03/2019 01:00,1.297222222,0,129.7083333,125.9194444,9.758333333,2,73.59444444,3.1129122,-0.05321622,278.1864,283.91458,0,1.49E-08
153,18/03/2019 13:00,2.130555556,0.011111111,94.3625,59.06111111,6.386111111,2,76.34929577,-0.7719058,-5.557891,276.19226,281.21823,1776979.1,0.002047241
154,19/03/2019 01:00,0.752777778,0.005555556,91.35694444,52.13888889,4.454166667,4.929166667,88.50972222,0.19153082,-0.8312758,276.16437,277.9987,0,0.003610984
155,19/03/2019 13:00,1.133333333,0,178.45,40.44444444,6.095833333,7.329166667,73.64166667,-2.2289224,-2.7783666,272.91864,280.62497,1855175.5,1.49E-08
156,20/03/2019 01:00,0.525,0,84.41666667,77.96944444,4.691666667,8,76.39583333,0.16234839,-0.9503798,274.3819,278.0573,0,1.49E-08
157,20/03/2019 13:00,0.916666667,0,276.5833333,108.5652778,8.080555556,8,61.77777778,-2.591917,-1.8490229,272.504,283.0603,1886775,0.000241756
158,21/03/2019 01:00,0.769444444,0,227.1138889,215.1041667,5.575,8.95,63.40833333,-0.43473446,-1.5078012,271.9193,276.70642,0,1.49E-08
159,21/03/2019 13:00,1.019444444,0,280.1492958,195.6125,8.768055556,9,54.49027778,-2.2990441,-0.90950716,271.24936,286.61334,1956122,1.49E-08
160,22/03/2019 01:00,0.513888889,0,275.5097222,217.125,3.915277778,9.675,72.98333333,-0.29491127,-1.1356938,270.3099,276.28473,0,1.49E-08
161,22/03/2019 13:00,0.856944444,0,176.5708333,196.7569444,11.41527778,10,51.63611111,-1.417066,-1.06523,271.03873,289.62143,1963640,1.49E-08
