longitude,latitude,time,u10,v10,d2m,t2m,cdir,tcrw,T
17.56999969,45.34999847,16/03/2019 13:00,-0.61318755,-1.0639354,277.77377,290.50348,1792485.2,1.49E-08,16/03/2019 13:00
17.56999969,45.34999847,17/03/2019 01:00,1.6642933,1.093252,276.6866,279.4094,0,1.49E-08,17/03/2019 01:00
17.56999969,45.34999847,17/03/2019 13:00,2.7992547,2.1561253,278.0194,295.86777,1868371.4,1.49E-08,17/03/2019 13:00
17.56999969,45.34999847,18/03/2019 01:00,3.1129122,-0.05321622,278.1864,283.91458,0,1.49E-08,18/03/2019 01:00
17.56999969,45.34999847,18/03/2019 13:00,-0.7719058,-5.557891,276.19226,281.21823,1776979.1,0.002047241,18/03/2019 13:00
17.56999969,45.34999847,19/03/2019 01:00,0.19153082,-0.8312758,276.16437,277.9987,0,0.003610984,19/03/2019 01:00
17.56999969,45.34999847,19/03/2019 13:00,-2.2289224,-2.7783666,272.91864,280.62497,1855175.5,1.49E-08,19/03/2019 13:00
17.56999969,45.34999847,20/03/2019 01:00,0.16234839,-0.9503798,274.3819,278.0573,0,1.49E-08,20/03/2019 01:00
17.56999969,45.34999847,20/03/2019 13:00,-2.591917,-1.8490229,272.504,283.0603,1886775,0.000241756,20/03/2019 13:00
17.56999969,45.34999847,21/03/2019 01:00,-0.43473446,-1.5078012,271.9193,276.70642,0,1.49E-08,21/03/2019 01:00
17.56999969,45.34999847,21/03/2019 13:00,-2.2990441,-0.90950716,271.24936,286.61334,1956122,1.49E-08,21/03/2019 13:00
17.56999969,45.34999847,22/03/2019 01:00,-0.29491127,-1.1356938,270.3099,276.28473,0,1.49E-08,22/03/2019 01:00
17.56999969,45.34999847,22/03/2019 13:00,-1.417066,-1.06523,271.03873,289.62143,1963640,1.49E-08,22/03/2019 13:00
17.56999969,45.34999847,23/03/2019 01:00,-0.09336424,-1.273662,271.2392,279.15384,0,1.49E-08,23/03/2019 01:00
17.56999969,45.34999847,23/03/2019 13:00,-1.85837,-1.0837245,276.76172,291.771,1946724.2,1.49E-08,23/03/2019 13:00
17.56999969,45.34999847,24/03/2019 01:00,0.18775177,-0.41792583,274.826,281.17172,0,1.49E-08,24/03/2019 01:00
17.56999969,45.34999847,24/03/2019 13:00,-0.43872344,1.0889981,275.92987,293.94836,1994848.1,1.49E-08,24/03/2019 13:00
17.56999969,45.34999847,25/03/2019 01:00,0.4312877,-0.5011507,272.8065,283.14792,0,1.49E-08,25/03/2019 01:00
17.56999969,45.34999847,25/03/2019 13:00,-3.8803477,-1.2083768,277.82553,290.6201,1949465.2,1.49E-08,25/03/2019 13:00
17.56999969,45.34999847,26/03/2019 01:00,1.5183816,-2.0909297,275.8771,278.41193,0,0.000211537,26/03/2019 01:00
17.56999969,45.34999847,26/03/2019 13:00,-1.6618615,-3.647049,271.83505,283.40952,2037059.2,1.49E-08,26/03/2019 13:00
