,u10,v10,wind-speed,wind-dir
318,-1.5890267,1.5425247,3.2,SE
319,-1.3016789,1.0039893,3.2,SE
320,-1.1043155,0.9918722,3.2,SE
321,-1.0354233,1.0371581,1.6,SE
322,-1.0766491,0.85858476,3.2,SE
323,-0.8250485,0.9032587,3.2,SE
324,-0.35019863,1.0441347,1.6,SE
325,1.1984394,-0.8214012,0.0,E
326,1.6656194,-2.9691787,4.8,NW
327,1.1363952,-4.264234,3.2,NW
328,0.8694547,-3.2850785,0.0,SSE
329,1.0147722,-1.3541842,0.0,E
330,0.69071835,-0.6373199,0.0,NNW
