d2m,t2m,stl1,stl2,stl3,stl4,tcrw,date_full,,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,dew2m,temp2m,soil1,soil2,soil3,soil4
265.32855,269.97925,272.2583,274.20572,276.5868,281.919,5.96E-08,04.01.2019 02:00:00,,-4.6,82,-4.7,0.9,0,-7.82145,-3.17075,-0.8917,1.05572,3.4368,8.769
265.29578,269.83002,272.1662,274.1591,276.58194,281.9126,5.96E-08,04.01.2019 03:00:00,,-4.3,79.9,-4.2,0.9,0,-7.85422,-3.31998,-0.9838,1.0091,3.43194,8.7626
265.1899,269.78207,272.12015,274.11832,276.5783,281.90802,5.96E-08,04.01.2019 04:00:00,,-3.5,78.1,-3.4,0.9,0,-7.9601,-3.36793,-1.02985,0.96832,3.4283,8.75802
265.00934,269.80096,272.09253,274.08472,276.57373,281.90207,5.96E-08,04.01.2019 05:00:00,,-3.5,76.6,-3.3,0.9,0,-8.14066,-3.34904,-1.05747,0.93472,3.42373,8.75207
264.9497,269.69968,272.01022,274.05865,276.56918,281.8975,5.96E-08,04.01.2019 06:00:00,,-4.4,77.6,-4.4,0.8,0,-8.2003,-3.45032,-1.13978,0.90865,3.41918,8.7475
264.6724,269.64023,271.86575,274.03302,276.56555,281.89178,5.96E-08,04.01.2019 07:00:00,,-3.3,75.5,-2.9,0.8,0,-8.4776,-3.50977,-1.28425,0.88302,3.41555,8.74178
264.88843,270.3426,271.84735,274.01035,276.56036,281.8863,5.96E-08,04.01.2019 08:00:00,,-3,74.7,-2.9,0.8,0,-8.26157,-2.8074,-1.30265,0.86035,3.41036,8.7363
265.44196,271.86145,272.6514,273.99017,276.5552,281.88126,5.96E-08,04.01.2019 09:00:00,,-1.3,72.5,-0.6,0.8,0,-7.70804,-1.28855,-0.4986,0.84017,3.4052,8.73126
264.90833,273.08786,272.69455,273.93008,276.54883,281.87714,5.96E-08,04.01.2019 10:00:00,,-0.3,63.8,2.3,0.8,0,-8.24167,-0.06214,-0.45545,0.78008,3.39883,8.72714
264.5262,273.60788,272.79126,273.9091,276.54367,281.8705,5.96E-08,04.01.2019 11:00:00,,-0.7,64.3,-0.1,0.8,0,-8.6238,0.45788,-0.35874,0.7591,3.39367,8.7205
264.4983,273.82736,272.82465,273.89145,276.5382,281.86594,5.96E-08,04.01.2019 12:00:00,,0.3,65.5,1.9,0.8,0,-8.6517,0.67736,-0.32535,0.74145,3.3882,8.71594
264.0673,274.14545,272.94724,273.8759,276.53214,281.86,5.96E-08,04.01.2019 13:00:00,,1,61.9,2.6,0.8,0,-9.0827,0.99545,-0.20276,0.7259,3.38214,8.71
263.7873,274.0975,273.12854,273.86285,276.52695,281.8554,5.96E-08,04.01.2019 14:00:00,,1.1,58.7,3.2,0.8,0,-9.3627,0.9475,-0.02146,0.71285,3.37695,8.7054
265.50214,272.23288,273.43762,273.849,276.52118,281.8488,5.96E-08,04.01.2019 15:00:00,,1.2,56.7,3.6,0.8,0,-7.64786,-0.91712,0.28762,0.699,3.37118,8.6988
263.36597,273.62073,273.3743,273.83722,276.5148,281.84445,5.96E-08,04.01.2019 16:00:00,,-0.6,71.3,-0.6,0.8,0,-9.78403,0.47073,0.2243,0.68722,3.3648,8.69445
265.86758,271.07803,273.1032,273.82504,276.50934,281.83942,5.96E-08,04.01.2019 17:00:00,,-1.4,71.6,-1.5,0.8,0,-7.28242,-2.07197,-0.0468,0.67504,3.35934,8.68942
265.82834,271.72504,273.0871,273.8116,276.50357,281.8346,5.96E-08,04.01.2019 18:00:00,,-1.6,77.3,-1.3,0.8,0,-7.32166,-1.42496,-0.0629,0.6616,3.35357,8.6846
266.09222,271.7446,272.57428,273.8007,276.4972,281.82843,5.96E-08,04.01.2019 19:00:00,,-1.3,80.2,-1.1,0.8,0,-7.05778,-1.4054,-0.57572,0.6507,3.3472,8.67843
266.42593,271.4961,272.36133,273.7889,276.49173,281.82364,5.96E-08,04.01.2019 20:00:00,,-2,85.1,-1.8,0.8,0,-6.72407,-1.6539,-0.78867,0.6389,3.34173,8.67364
266.68604,271.36844,272.32275,273.77756,276.48685,281.8186,5.96E-08,04.01.2019 21:00:00,,-2.4,86.8,-2.1,0.8,0,-6.46396,-1.78156,-0.82725,0.62756,3.33685,8.6686
267.31104,271.1199,272.58292,273.812,276.4823,281.81448,5.96E-08,04.01.2019 22:00:00,,-2.4,87.2,-2.1,0.7,0,-5.83896,-2.0301,-0.56708,0.662,3.3323,8.66448
267.30353,271.0301,272.41428,273.80994,276.47653,281.80786,5.96E-08,04.01.2019 23:00:00,,-2,84.7,-1.6,0.7,0,-5.84647,-2.1199,-0.73572,0.65994,3.32653,8.65786
267.1837,270.94095,272.26346,273.80823,276.46985,281.80328,5.96E-08,05.01.2019 00:00:00,,-1.6,81.7,-1.2,0.8,0,-5.9663,-2.20905,-0.88654,0.65823,3.31985,8.65328
266.98108,270.78494,271.9849,273.8053,276.4644,281.79733,5.96E-08,05.01.2019 01:00:00,,-1.8,84,-1.5,0.8,0,-6.16892,-2.36506,-1.1651,0.6553,3.3144,8.64733
