u10,v10,dew2m,dw2m,temp2m,tmp2m,crr,max2mt,mx2t,msdrswrf,min2mt,mn2t,skt,sp,tcrw,temp-out,hi-temp,low-temp,out-hum,dew-pt,wind-speed,wind-dir,bar,rain,rain-rate
0.695375,-2.0890403,12.07552,285.22552,15.0833,288.2333,2.91E-11,16.27197,289.42197,-3.05E-05,1.59E+01,289.06512,289.39804,100260.195,0.000293434,16.3,16.6,16.3,74,11.6,0,NW,100400,0,0
0.46568853,-1.729935,12.2818,285.4318,14.06927,287.21927,2.91E-11,15.88088,289.03088,-3.05E-05,1.54E+01,288.59546,288.8541,100232.99,0.000293434,15.7,16.3,15.6,76,11.4,0,NW,100400,0,0
0.73605293,-1.4468367,12.62985,285.77985,14.63824,287.78824,2.91E-11,15.37374,288.52374,-3.05E-05,1.50E+01,288.19913,288.3559,100267.37,0.001171507,14.3,15.7,14.3,83,11.5,0,NW,100410,0,0
0.75741917,-1.4697244,12.51168,285.66168,14.99792,288.14792,2.91E-11,15.4409,288.5909,5.4482117,1.49E+01,288.0416,289.1499,100285.805,0.001855075,13.1,14.3,13,87,10.9,0,---,100410,0,0
0.4410352,-1.5709447,12.96432,286.11432,16.5366,289.6866,2.91E-11,17.18304,290.33304,67.8255,1.57E+01,288.86667,291.41388,100315.68,0.000683565,14.1,14.7,13.1,85,11.6,0,NW,100400,0,0
-0.119279444,-1.6837924,13.31835,286.46835,17.59097,290.74097,2.91E-11,18.99203,292.14203,183.05411,1.75E+01,290.68518,293.97104,100353.19,0,14.1,14.1,13.7,87,12,0,SW,100430,0,0
-0.4746978,-1.4003268,13.43417,286.58417,19.1685,292.3185,2.91E-11,20.0755,293.2255,309.1339,1.88E+01,291.9703,297.1285,100383.18,9.78E-05,15.7,15.7,14.1,82,12.6,0,W,100470,0,0
-0.17474937,-1.4169725,12.73385,285.88385,22.19607,295.34607,2.91E-11,21.43713,294.58713,455.52283,2.04E+01,293.53482,299.74164,100368.305,0.000585753,18.5,18.5,15.7,67,12.3,0,NW,100530,0,0
0.2287429,-1.9880649,12.3585,285.5085,23.0379,296.1879,2.91E-11,22.39764,295.54764,480.74786,2.17E+01,294.83017,301.4333,100384.39,0.001073696,21.4,21.4,18.5,58,12.8,0,NW,100510,0,0
0.69811434,-1.3278693,11.7004,284.8504,24.30224,297.45224,2.91E-11,23.40078,296.55078,541.98114,2.26E+01,295.71457,303.2982,100365.08,0,23.4,23.4,21.4,56,14.2,1.6,NW,100530,0,0
0.90807825,-1.465563,11.6661,284.8161,24.75784,297.90784,2.63E-06,24.08886,297.23886,620.28406,2.35E+01,296.67612,304.3029,100300.87,0.000682455,24.1,24.1,23,51,13.3,1.6,NW,100530,0,0
2.0624003,-3.975628,11.9876,285.1376,24.1282,297.2782,0.000778193,24.45507,297.60507,540.89374,2.35E+01,296.6367,300.47397,100367.44,0.029662304,25.7,25.7,24.1,45,12.8,1.6,NW,100520,0,0
1.4225104,-4.758218,13.2643,286.4143,22.37118,295.52118,2.91E-11,23.64233,296.79233,433.83182,2.13E+01,294.41833,298.3299,100380.76,0.01269209,26.6,26.6,25.1,43,13,1.6,NW,100480,0,0
0.88753384,-4.3661885,13.1179,286.2679,22.74722,295.89722,2.91E-11,22.2147,295.3647,361.92862,2.08E+01,293.99457,298.5406,100374.234,0.000390131,24.8,26.6,24.2,42,11,3.2,NW,100490,0,0
0.5879963,-4.474018,12.1898,285.3398,22.86675,296.01675,2.91E-11,22.57546,295.72546,345.09683,2.19E+01,295.078,298.30795,100372.62,0,24.5,26.3,24.3,41,10.4,4.8,NW,100480,0,0
0.17149252,-4.598004,11.0876,284.2376,23.09274,296.24274,2.91E-11,22.8965,296.0465,289.85553,2.26E+01,295.77332,296.0561,100386.81,0.001000337,24.5,26.2,24.5,46,12.1,4.8,NW,100520,0,0
-0.073807776,-3.9349933,10.4475,283.5975,22.14156,295.29156,2.91E-11,22.73754,295.88754,129.40988,2.23E+01,295.42377,294.16394,100462.945,0.000487942,23.6,24.6,23.4,44,10.6,4.8,NW,100550,0,0
-0.01600951,-3.015199,10.29974,283.44974,21.37423,294.52423,2.91E-11,22.12863,295.27863,39.983948,2.14E+01,294.58142,293.05524,100507.875,9.78E-05,23.4,23.6,23.3,43,10.1,3.2,NW,100580,0,0
0.37994987,-2.1495032,10.19552,283.34552,20.61816,293.76816,2.91E-11,21.10464,294.25464,0.9854126,2.04E+01,293.58624,291.56067,100559.94,0,23.2,24.2,23.2,44,10.2,3.2,NW,100590,0,0
1.0973608,-1.8283402,10.39443,283.54443,18.1941,291.3441,2.91E-11,20.26962,293.41962,-3.05E-05,1.91E+01,292.26315,290.68683,100606.36,0,21.3,23.2,21.3,49,10.2,1.6,NW,100660,0,0
1.8109367,-2.3712819,10.14633,283.29633,17.61822,290.76822,2.91E-11,18.96746,292.11746,-3.05E-05,1.85E+01,291.68152,290.12585,100621.14,0,19.4,21.3,19.4,50,8.7,1.6,NW,100710,0,0
2.27346,-3.5310915,10.34698,283.49698,16.02758,289.17758,2.91E-11,18.5901,291.7401,-3.05E-05,1.82E+01,291.33725,290.31915,100655.08,0,18.2,19.4,18.2,56,9.3,0,NW,100780,0,0
1.9515975,-4.0325413,10.328,283.478,15.59777,288.74777,2.91E-11,18.20016,291.35016,-3.05E-05,1.78E+01,290.93567,289.94012,100695.01,0,17.3,18.2,17.3,60,9.5,1.6,NW,100810,0,0
1.6198738,-3.9113708,10.26312,283.41312,15.50585,288.65585,2.91E-11,17.70562,290.85562,-3.05E-05,1.75E+01,290.61533,289.5384,100721.62,0,16.7,17.3,16.7,63,9.6,1.6,NW,100840,0,0
1.4868829,-3.6326787,10.01812,283.16812,15.06478,288.21478,2.91E-11,17.40115,290.55115,-3.05E-05,1.70E+01,290.11496,288.901,100695.31,0,16.2,16.7,16.2,65,9.6,1.6,NW,100850,0,0
1.3364978,-3.529133,9.69818,282.84818,14.29928,287.44928,2.91E-11,16.88058,290.03058,-3.05E-05,1.65E+01,289.6976,288.52652,100718.38,0,15.4,16.2,15.4,68,9.5,3.2,NW,100850,0,0
1.0964019,-3.6384313,9.65267,282.80267,14.5078,287.6578,2.91E-11,16.46206,289.61206,-3.05E-05,1.61E+01,289.28696,288.3007,100766.016,0,14.6,15.4,14.6,71,9.4,1.6,NW,100870,0,0
0.7119475,-3.348724,9.76403,282.91403,14.22515,287.37515,2.91E-11,16.05813,289.20813,5.0517883,1.58E+01,288.93567,288.5545,100787.625,9.78E-05,13.8,14.7,13.8,77,9.8,0,NW,100890,0,0
0.45952517,-3.1875303,10.48235,283.63235,15.77798,288.92798,2.91E-11,16.5052,289.6552,59.85135,1.59E+01,289.01517,290.34262,100813.18,0,12.8,13.7,12,82,9.8,0,WNW,100910,0,0
-0.26487082,-3.471118,10.85537,284.00537,16.77166,289.92166,2.91E-11,17.65872,290.80872,164.60258,1.67E+01,289.8756,292.86874,100856.555,0,13.4,13.4,12.8,79,9.8,1.6,NW,100940,0,0
-0.6990428,-3.1454268,11.4947,284.6447,17.94485,291.09485,1.67E-06,18.37054,291.52054,286.42346,1.75E+01,290.66705,295.57303,100881.8,0,15.2,15.2,13.4,73,10.4,1.6,NW,100990,0,0
-0.9636548,-3.1628065,11.73428,284.88428,20.45284,293.60284,8.94E-06,19.72643,292.87643,410.2492,1.86E+01,291.73035,297.41638,100875.49,0.000414584,17.2,17.2,15.2,68,11.3,3.2,NW,101010,0,0
-1.1466371,-3.437582,12.1745,285.3245,21.34118,294.49118,7.15E-06,21.05148,294.20148,545.3226,2.00E+01,293.14053,299.49463,100870.805,0.001440488,19.8,19.9,17.2,60,11.8,1.6,NW,101040,0,0
-1.2107357,-3.0929193,11.85204,285.00204,22.76394,295.91394,3.94E-06,21.72985,294.87985,509.79004,2.12E+01,294.39993,300.4804,100884,0.004772734,21.2,21.7,19.9,53,11.3,1.6,E,101050,0,0
-1.0528176,-3.3725905,11.37927,284.52927,23.548,296.698,7.03E-06,22.62377,295.77377,507.01495,2.19E+01,295.0365,300.55945,100868.51,0.001027014,23.1,23.1,20.7,48,11.5,1.6,NW,101040,0,0
-0.7178067,-3.8303456,11.17242,284.32242,23.87896,297.02896,2.75E-06,23.41735,296.56735,635.88116,2.28E+01,295.92703,301.49228,100820.13,0.000391245,24.1,24.3,23.1,43,10.7,3.2,NW,101050,0,0
-1.2253907,-4.6578546,10.85653,284.00653,24.00903,297.15903,6.32E-06,23.59747,296.74747,500.69455,2.35E+01,296.61066,300.8409,100786.38,0.002611999,25.2,25.3,23.8,40,10.6,3.2,NW,101010,0,0
-1.5386245,-4.8747373,10.2548,283.4048,24.1856,297.3356,2.91E-11,23.7444,296.8944,398.52585,2.36E+01,296.7238,298.92227,100792.31,0.001905091,24.9,25.4,24.1,40,10.4,3.2,NW,100970,0,0
