Wind speed.mean,Rainfall.mean,Wind direction.mean,Ground temperature.mean,Air temperature.mean,u10,v10,d2m,t2m,skt,tcrw,Air moisture.mean,cdir,Global radiation.mean,cdir_real
0.461111111,0,180.6777778,4.272222222,10.04166667,0.6698906,0.465016,274.89743,288.09177,289.12973,0,67.7375,4589604.5,120.0944444,424.9633796
1.125,0,77.6375,4.469444444,3.870833333,2.3004162,-0.36031145,272.9099,276.1845,274.03732,0,86.76805556,0,114.7902778,0
0.879166667,0,21.11527778,4.472222222,8.6,0.57117003,-1.6460534,275.60593,286.95193,288.53094,0,74.12777778,4466805.5,98.50277778,413.5931019
0.106944444,0,135.2208333,4.688888889,2.870833333,0.5770278,-0.83243144,273.18286,276.80566,272.6367,0,91.07777778,0,128.5652778,0
0.6375,0,91.75833333,4.697222222,9.479166667,1.942748,-0.2900787,274.41016,286.79572,288.11594,0,70.90555556,4488572.5,118.6555556,415.6085648
1.818055556,0.023611111,80.28194444,4.945833333,6.534722222,1.6346985,0.47096157,275.3236,278.8711,276.29004,0.003105879,96.66944444,0,28.45416667,0
8.480555556,0,176.9902778,5.108333333,4.997222222,3.1658144,-4.829008,279.06314,282.06403,281.8086,0.011918709,75.86805556,4276694,22.92361111,395.9901852
7.976388889,0.001388889,226.9291667,4.988888889,-2.352777778,-2.1127188,-4.6998763,261.7854,271.3034,269.726,0,57.09305556,0,144.1972222,0
2.798611111,0,319.2569444,4.419444444,-1.470833333,-2.4224913,-4.5597825,262.13226,274.19626,275.98514,0,66.17222222,4898237,123.2597222,453.540463
1.244444444,0,174.7513889,4.034722222,-4.430555556,-0.67860085,-2.0815706,263.38812,267.88385,269.6441,0,82.19722222,0,121.6222222,0
1.027777778,0,276.5180556,3.651388889,0.494444444,-0.8927538,-1.8472757,264.80807,275.70966,280.07004,0,58.55694444,4824507.5,93.18472222,446.7136574
0.704166667,0,294.3069444,3.468055556,0.368055556,0.87353396,-0.6769161,266.93454,272.1376,271.00342,0,73.23888889,0,60.60555556,0
0.801388889,0,132.4458333,3.481944444,3.294444444,-1.9001168,0.020951867,266.2408,278.34195,282.64072,0,60.30555556,4832560,107.2583333,447.4592593
2.491666667,0,102.8944444,3.6,4.343055556,1.7945809,1.1090018,267.5105,273.16568,271.86926,0,68.40833333,0,73.16944444,0
6.701388889,0,48.08888889,3.7875,11.71388889,3.4199378,-3.344273,273.5514,286.2412,288.1483,0,55.675,4802363.5,100.9236111,444.663287
2.116666667,0,64.8375,4.161111111,4.470833333,0.69607824,-3.1278152,271.36383,279.14526,276.2618,0,85.33194444,0,133.4708333,0
1.527777778,0,61.11666667,4.290277778,7.594444444,0.0532749,-3.2268472,273.5578,285.1341,287.003,0,69.52916667,4883516.5,131.7166667,452.1774537
2.073611111,0,140.5944444,4.493055556,5.694444444,2.0948775,1.2344173,271.15295,274.75876,274.29544,0,74.7125,0,159.9291667,0
1.693055556,0,119.8305556,4.570833333,15.24027778,3.715238,1.9376737,272.1226,291.31927,290.91718,0,39.74583333,5108731.5,138.9291667,473.0306944
0.375,0,139.5583333,4.976388889,7.922222222,3.0991392,0.09341431,271.40817,282.36227,278.53864,0,65.90972222,0,59.98194444,0
0.859722222,0.001388889,165.8888889,5.154166667,11.17777778,2.0893643,0.39905667,275.51328,289.92752,292.01154,0,68.44583333,4941770.5,83.49027778,457.5713426
1.763888889,0,73.83611111,5.4,6.988888889,1.9842691,-1.2621888,276.6987,280.82294,277.34515,0.000855342,88.89722222,0,62.325,0
1.461111111,0.004166667,78.75555556,14.57083333,7.640277778,0.97966284,-2.8262606,275.58374,284.3104,285.1646,0.005272284,88.25833333,4903018,60.225,453.9831481
0.85,0,118.0972222,14.68611111,5.381944444,0.78256637,-0.49668926,275.6611,279.06253,275.24594,0.001836881,90.12083333,0,114.6458333,0
0.802777778,0,177.9138889,5.7125,11.10277778,1.3313009,1.7537307,277.02585,286.8235,288.55917,4.91E-05,58.75555556,5022420,108.3819444,465.0388889
1.493055556,0,139.8194444,14.96666667,7.341666667,1.7139506,2.106195,272.35956,278.02765,277.18478,0,70.95277778,0,151.0597222,0
2.8625,0,133.4541667,24.15,16.03333333,3.0686445,3.8967576,272.78082,292.97162,293.68198,0,42.525,5262230,117.3055556,487.2435185
3.913888889,0.052777778,124.9666667,24.4875,8.120833333,3.4407847,-1.3892766,274.57272,282.48392,280.78653,0.025611207,88.37222222,0,139.3513889,0
1.198611111,0.001388889,153.2208333,33.75277778,10.425,0.059649527,1.2267996,275.80103,287.06555,289.7898,9.82E-05,65.12222222,5242979.5,125.0527778,485.4610648
0.893055556,0,147.9277778,6.626388889,6.294444444,1.9268975,1.3042785,275.43298,278.9557,277.3679,0,86.12361111,0,167.5888889,0
1.456944444,0,229.9847222,15.6875,11.72777778,-0.3795104,1.6691915,276.03503,288.45422,291.8553,0,64.23472222,5271918,133.2986111,488.1405556
1.436111111,0,223.5180556,6.841666667,8.998611111,0.19592865,2.4512272,274.96097,280.5457,278.47598,0,77.79027778,0,53.98472222,0
2.655555556,0,191.7027778,16,17.18472222,2.0781658,4.0407534,278.10977,293.11673,293.53192,0,50.49583333,5358481,105.2847222,496.1556481
1.280555556,0,151.1458333,16.33055556,12.94027778,1.323548,2.2784324,276.03653,284.99826,281.00815,0,61.78888889,0,96.85555556,0
1.336111111,0,121.0944444,43.75416667,13.68472222,2.9685457,0.5493696,279.79428,291.93365,292.9462,0.008055642,77.16944444,5274560,44.39166667,488.3851852
1.1625,0,127.6847222,71.23194444,7.879166667,2.2785356,-0.59795076,279.18777,283.17673,279.38107,0.000238374,85.26111111,0,116.5847222,0
2.506944444,0,122.325,25.7375,13.78888889,1.7401382,3.0926118,278.96115,289.888,292.30475,0.000308484,58.81805556,5380499,128.2958333,498.1943519
4.094444444,0,137.7305556,53.24583333,14.12361111,5.8534937,1.0725847,274.0155,284.11774,282.59668,0,55.28055556,0,146.3375,0
3.091666667,0,126,44.30972222,15.9,4.1175284,2.9798307,275.56946,291.54156,292.472,4.91E-05,51.55416667,5541924,68.85138889,513.1411111
