dateandtime,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,leaf-hum,rain
30.12.2019. 5:10:00,-4,88,-4.5,1.9,100,0
30.12.2019. 5:00:00,-4,87.8,-4.5,1.9,100,0
30.12.2019. 4:50:00,-3.9,87.7,-4.4,2,100,0
30.12.2019. 4:40:00,-3.9,87.8,-4.4,2,100,0
30.12.2019. 4:30:00,-4,88.2,-4.5,1.9,100,0
30.12.2019. 4:20:00,-3.8,87.6,-4.4,2,100,0
30.12.2019. 4:10:00,-3.5,86.8,-4.1,1.9,100,0
30.12.2019. 4:00:00,-3.4,86.8,-4,2,100,0
30.12.2019. 3:50:00,-3.4,87.2,-3.9,2,100,0
30.12.2019. 3:40:00,-3.4,87.2,-3.8,2,100,0
30.12.2019. 3:30:00,-3.5,87.4,-3.9,2,100,0
30.12.2019. 3:20:00,-3.5,87.3,-3.9,2,100,0
30.12.2019. 3:10:00,-3.8,88.5,-4.1,2,100,0
30.12.2019. 3:00:00,-3.8,89.1,-4.2,2,100,0
30.12.2019. 2:50:00,-3.5,87.7,-3.9,2.1,100,0
30.12.2019. 2:40:00,-2.9,85.6,-3.2,2,100,0
30.12.2019. 2:30:00,-2.7,85.1,-3,2.1,100,0
30.12.2019. 2:20:00,-2.8,85.9,-3,2.1,100,0
30.12.2019. 2:10:00,-3.1,87.4,-3.4,2.1,100,0
30.12.2019. 2:00:00,-2.9,86.8,-3.2,2.1,100,0
30.12.2019. 1:50:00,-3,87,-3.2,2.1,100,0
30.12.2019. 1:40:00,-3,87.6,-3.4,2.1,100,0
30.12.2019. 1:30:00,-2.9,86.9,-3.2,2.1,100,0
30.12.2019. 1:20:00,-3,86.5,-3.3,2.1,100,0
30.12.2019. 1:10:00,-3,86.5,-3.6,2.1,100,0
30.12.2019. 1:00:00,-2.8,86.2,-3.3,2.1,100,0
30.12.2019. 0:50:00,-2.6,85.1,-3.1,2.1,100,0
30.12.2019. 0:40:00,-2.5,85.1,-2.9,2.1,100,0
30.12.2019. 0:30:00,-2.7,85.6,-3,2.1,100,0
30.12.2019. 0:20:00,-2.7,85.5,-3.1,2.1,100,0
30.12.2019. 0:10:00,-2.7,85.7,-3.1,2.1,100,0
30.12.2019. 0:00:00,-2.6,85.2,-3,2.1,100,0
29.12.2019. 23:50:00,-2.5,85.3,-2.9,2.2,100,0
29.12.2019. 23:40:00,-2.4,84.8,-2.9,2.1,100,0
29.12.2019. 23:30:00,-2.3,84.1,-2.6,2.2,100,0
29.12.2019. 23:20:00,-2.2,84,-2.5,2.2,100,0
29.12.2019. 23:10:00,-2.2,84.6,-2.6,2.2,100,0
29.12.2019. 23:00:00,-2.3,85.1,-2.8,2.2,100,0
29.12.2019. 22:50:00,-2.3,84.6,-2.8,2.2,100,0
29.12.2019. 22:40:00,-2.2,84.4,-2.6,2.2,100,0
29.12.2019. 22:30:00,-2,84.7,-2.4,2.2,100,0
29.12.2019. 22:20:00,-2,84.6,-2.4,2.2,100,0
29.12.2019. 22:10:00,-1.8,83.9,-2.2,2.2,100,0
29.12.2019. 22:00:00,-1.7,83.4,-2,2.2,100,0
29.12.2019. 21:50:00,-1.7,83.4,-1.9,2.2,100,0
29.12.2019. 21:40:00,-1.6,83.2,-1.9,2.2,100,0
29.12.2019. 21:30:00,-1.6,83.3,-1.7,2.2,100,0
29.12.2019. 21:20:00,-1.4,82.6,-1.6,2.2,100,0
29.12.2019. 21:10:00,-1.3,82.4,-1.4,2.2,100,0
29.12.2019. 21:00:00,-1.6,83.9,-1.7,2.2,100,0
29.12.2019. 20:50:00,-1.3,82.8,-1.5,2.2,100,0
29.12.2019. 20:40:00,-1,80.4,-1.1,2.3,100,0
29.12.2019. 20:30:00,-1,80.5,-1,2.2,100,0
29.12.2019. 20:20:00,-1.1,81.1,-1.2,2.2,100,0
29.12.2019. 20:10:00,-1.1,81.2,-1.2,2.3,100,0
29.12.2019. 20:00:00,-0.9,80.4,-1.1,2.3,100,0
29.12.2019. 19:50:00,-0.9,80.4,-0.9,2.3,100,0
29.12.2019. 19:40:00,-0.8,80.1,-0.9,2.3,100,0
29.12.2019. 19:30:00,-1,80.7,-1.1,2.3,100,0
29.12.2019. 19:20:00,-0.9,80.7,-1.1,2.3,100,0
29.12.2019. 19:10:00,-0.7,79.1,-0.8,2.3,100,0
29.12.2019. 19:00:00,-0.7,79.4,-0.8,2.4,100,0
29.12.2019. 18:50:00,-0.6,78.3,-0.6,2.4,100,0
29.12.2019. 18:40:00,-0.3,77,-0.3,2.4,100,0
29.12.2019. 18:30:00,-0.6,78.3,-0.7,2.4,100,0
29.12.2019. 18:20:00,-0.3,76.8,-0.4,2.4,100,0
29.12.2019. 18:10:00,-0.3,76.9,-0.4,2.4,100,0
29.12.2019. 18:00:00,-0.2,76.7,-0.2,2.4,100,0
29.12.2019. 17:50:00,0,75.7,0,2.4,100,0
29.12.2019. 17:40:00,0,76.6,0,2.4,100,0
29.12.2019. 17:30:00,0.2,75.9,0.2,2.4,100,0
29.12.2019. 17:20:00,0.4,74,0.5,2.4,0,0
29.12.2019. 17:10:00,0.5,73.8,0.6,2.4,0,0
29.12.2019. 17:00:00,0.6,73.6,0.7,2.4,0,0
29.12.2019. 16:50:00,0.7,73.6,0.8,2.4,0,0
29.12.2019. 16:40:00,0.7,74.3,0.8,2.4,0,0
29.12.2019. 16:30:00,0.8,73.1,0.9,2.4,0,0
29.12.2019. 16:20:00,0.8,73,0.9,2.4,0,0
29.12.2019. 16:10:00,0.8,73.3,1,2.4,0,0
29.12.2019. 16:00:00,0.9,70.4,1.1,2.4,0,0
29.12.2019. 15:50:00,0.9,72.7,1.1,2.4,0,0
29.12.2019. 15:40:00,1,71.4,1.2,2.4,0,0
29.12.2019. 15:30:00,1,72.1,1.2,2.4,0,0
29.12.2019. 15:20:00,1,70.3,1.3,2.4,0,0
29.12.2019. 15:10:00,1.1,72.1,1.4,2.4,0,0
29.12.2019. 15:00:00,1.2,71.7,1.5,2.4,0,0
29.12.2019. 14:50:00,1.4,70.8,1.9,2.4,0,0
29.12.2019. 14:40:00,1.3,70.7,2,2.4,0,0
29.12.2019. 14:30:00,1.5,69.7,2.6,2.4,0,0
29.12.2019. 14:20:00,1.5,69,2.6,2.4,0,0
29.12.2019. 14:10:00,1.4,69.2,2.1,2.4,0,0
29.12.2019. 14:00:00,1.3,71.2,1.8,2.4,0,0
29.12.2019. 13:50:00,1.3,72.5,1.8,2.4,0,0
29.12.2019. 13:40:00,1.3,71.3,1.7,2.4,0,0
29.12.2019. 13:30:00,1.3,69.5,1.8,2.3,0,0
29.12.2019. 13:20:00,1.5,70.6,2,2.4,0,0
29.12.2019. 13:10:00,1.6,70.3,2.3,2.3,0,0
29.12.2019. 13:00:00,1.6,70.3,2.2,2.4,0,0
29.12.2019. 12:50:00,1.7,68.6,2.4,2.4,0,0
29.12.2019. 12:40:00,1.8,69.1,2.6,2.4,0,0
29.12.2019. 12:30:00,1.8,67.8,2.4,2.4,0,0
29.12.2019. 12:20:00,1.7,68.2,2.3,2.4,0,0
29.12.2019. 12:10:00,1.9,67.5,2.6,2.3,0,0
29.12.2019. 12:00:00,1.8,67.3,2.6,2.4,0,0
29.12.2019. 11:50:00,2,66.7,2.8,2.4,0,0
29.12.2019. 11:40:00,1.9,66.4,2.6,2.4,0,0
29.12.2019. 11:30:00,1.6,66.8,2.2,2.4,0,0
29.12.2019. 11:20:00,1.3,67.9,1.8,2.4,0,0
29.12.2019. 11:10:00,1.4,67.9,1.9,2.4,0,0
29.12.2019. 11:00:00,1.4,67,1.8,2.4,0,0
29.12.2019. 10:50:00,1.3,67.7,1.9,2.4,0,0
29.12.2019. 10:40:00,1.3,68.2,1.9,2.4,0,0
29.12.2019. 10:30:00,1.4,67.1,2.2,2.4,0,0
29.12.2019. 10:20:00,1.3,67.4,1.9,2.4,0,0
29.12.2019. 10:10:00,1.3,67.4,1.8,2.4,0,0
29.12.2019. 10:00:00,1.3,69.5,1.8,2.4,0,0
29.12.2019. 9:50:00,1.2,67.7,1.7,2.4,0,0
29.12.2019. 9:40:00,1.2,69.4,1.7,2.4,0,0
29.12.2019. 9:30:00,1.2,68.9,1.6,2.4,0,0
29.12.2019. 9:20:00,1.2,68.9,1.4,2.4,0,0
29.12.2019. 9:10:00,1,71.2,1.4,2.4,0,0
29.12.2019. 9:00:00,1,70,1.3,2.4,0,0
29.12.2019. 8:50:00,1,70.3,1.2,2.4,0,0
29.12.2019. 8:40:00,0.9,71.1,1.2,2.4,0,0
29.12.2019. 8:30:00,0.9,69.4,1.1,2.4,0,0
29.12.2019. 8:20:00,1,69.3,1.1,2.4,0,0
29.12.2019. 8:10:00,1,69.2,1.1,2.4,0,0
29.12.2019. 8:00:00,0.9,69.4,1.1,2.4,0,0
29.12.2019. 7:50:00,0.9,69.2,1.1,2.4,0,0
29.12.2019. 7:40:00,0.9,70,1.1,2.4,0,0
29.12.2019. 7:30:00,0.9,69.7,1.1,2.4,0,0
29.12.2019. 7:20:00,0.8,69.9,0.9,2.5,0,0
29.12.2019. 7:10:00,0.9,69.2,1,2.5,0,0
29.12.2019. 7:00:00,0.9,69,1,2.6,0,0
29.12.2019. 6:50:00,0.9,68.5,1.1,2.5,0,0
29.12.2019. 6:40:00,1,68.3,1.1,2.5,0,0
29.12.2019. 6:30:00,0.9,67.6,1.1,2.5,0,0
29.12.2019. 6:20:00,0.9,69.1,1,2.5,0,0
